date,workerid,amount
Wed Apr 25 16:50:50 PDT 2018,A2KUWEN5J9VHLM,0.4
Wed Apr 25 16:51:08 PDT 2018,A3UMSELI6RN91R,0.4
Wed Apr 25 16:51:53 PDT 2018,A2KMX4HGXSWS7U,0.4
Wed Apr 25 17:23:26 PDT 2018,A2UC4H3EHIMWGC,0.4
Wed Apr 25 17:23:51 PDT 2018,A1830YARZUAFPX,0.4
Wed Apr 25 17:23:52 PDT 2018,A4RT8SPRCRYVN,0.4
Wed Apr 25 17:38:10 PDT 2018,A1HIQZEC2ER7GS,0.4
Wed Apr 25 17:56:40 PDT 2018,APO6KZZ79PO9Q,0.4
Wed Apr 25 18:10:36 PDT 2018,A3MGB4NSOLPJ9G,0.4
,total paid to workers:,=SUM(c2:c10)
,40% paid to Amazon:,=.4*c11
,total:,=SUM(c11:c12
