workerid,noun,gender,nounclass,slide_number,predicate2,predicate1,class2,response,class1,school,lived,family,language,level,enjoyment,gender,age,describe,comments,years,assess,classes,college,education,OS,screenH,screenW,Browser,hitid,hittypeid,title,description,keywords,reward,creationtime,assignments,numavailable,numpending,numcomplete,hitstatus,reviewstatus,annotation,assignmentduration,autoapprovaldelay,hitlifetime,viewhit,assignmentid,workerid,assignmentstatus,autoapprovaltime,assignmentaccepttime,assignmentsubmittime,assignmentapprovaltime,assignmentrejecttime,deadline,feedback,reject,Answer.catch_trials,Answer.time_in_minutes
0,televisi&oacute;n ,feminine,furniture,3,verde,duro,color,0.04,texture,most,both8,spaneng,Espanol,native,1,Male,33,SpanSpan,"
",mostlive,Yes,yes,nocollege,4,iPhone/iPod,667,375,Safari,3E24UO25QZL13CECQNFWKGZL1IK6O1,3GSIANI2QT82ZCEA9256017TJV6PDY,Descripciones de objetos,Va a ver 26 pares de descripciones cortas de objetos. Tiene que elegir la que suena mejor.,idioma investigaciones ciencia cognitiva universidad,$0.40,Wed Apr 25 16:47:16 PDT 2018,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Fri May 25 16:47:16 PDT 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3E24UO25QZL13CECQNFWKGZL1IK6O1,3ZAK8W07I5A4PQANBMGQZ4D7YA1U09,0,Approved,Thu Apr 26 09:32:20 PDT 2018,Wed Apr 25 16:47:46 PDT 2018,Wed Apr 25 16:52:20 PDT 2018,Thu Apr 26 09:32:37 PDT 2018,,,,,[],4.3543
0,queso,masculine,food,4,marr&oacute;n,metal,color,0.02,material,most,both8,spaneng,Espanol,native,1,Male,33,SpanSpan,"
",mostlive,Yes,yes,nocollege,4,iPhone/iPod,667,375,Safari,3E24UO25QZL13CECQNFWKGZL1IK6O1,3GSIANI2QT82ZCEA9256017TJV6PDY,Descripciones de objetos,Va a ver 26 pares de descripciones cortas de objetos. Tiene que elegir la que suena mejor.,idioma investigaciones ciencia cognitiva universidad,$0.40,Wed Apr 25 16:47:16 PDT 2018,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Fri May 25 16:47:16 PDT 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3E24UO25QZL13CECQNFWKGZL1IK6O1,3ZAK8W07I5A4PQANBMGQZ4D7YA1U09,0,Approved,Thu Apr 26 09:32:20 PDT 2018,Wed Apr 25 16:47:46 PDT 2018,Wed Apr 25 16:52:20 PDT 2018,Thu Apr 26 09:32:37 PDT 2018,,,,,[],4.3543
0,queso,masculine,food,5,fresco,morado,age,0.95,color,most,both8,spaneng,Espanol,native,1,Male,33,SpanSpan,"
",mostlive,Yes,yes,nocollege,4,iPhone/iPod,667,375,Safari,3E24UO25QZL13CECQNFWKGZL1IK6O1,3GSIANI2QT82ZCEA9256017TJV6PDY,Descripciones de objetos,Va a ver 26 pares de descripciones cortas de objetos. Tiene que elegir la que suena mejor.,idioma investigaciones ciencia cognitiva universidad,$0.40,Wed Apr 25 16:47:16 PDT 2018,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Fri May 25 16:47:16 PDT 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3E24UO25QZL13CECQNFWKGZL1IK6O1,3ZAK8W07I5A4PQANBMGQZ4D7YA1U09,0,Approved,Thu Apr 26 09:32:20 PDT 2018,Wed Apr 25 16:47:46 PDT 2018,Wed Apr 25 16:52:20 PDT 2018,Thu Apr 26 09:32:37 PDT 2018,,,,,[],4.3543
0,sof&aacute; ,masculine,furniture,6,rojo,bueno,color,0.99,quality,most,both8,spaneng,Espanol,native,1,Male,33,SpanSpan,"
",mostlive,Yes,yes,nocollege,4,iPhone/iPod,667,375,Safari,3E24UO25QZL13CECQNFWKGZL1IK6O1,3GSIANI2QT82ZCEA9256017TJV6PDY,Descripciones de objetos,Va a ver 26 pares de descripciones cortas de objetos. Tiene que elegir la que suena mejor.,idioma investigaciones ciencia cognitiva universidad,$0.40,Wed Apr 25 16:47:16 PDT 2018,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Fri May 25 16:47:16 PDT 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3E24UO25QZL13CECQNFWKGZL1IK6O1,3ZAK8W07I5A4PQANBMGQZ4D7YA1U09,0,Approved,Thu Apr 26 09:32:20 PDT 2018,Wed Apr 25 16:47:46 PDT 2018,Wed Apr 25 16:52:20 PDT 2018,Thu Apr 26 09:32:37 PDT 2018,,,,,[],4.3543
0,silla,feminine,furniture,7,suave,viejo,texture,0.03,age,most,both8,spaneng,Espanol,native,1,Male,33,SpanSpan,"
",mostlive,Yes,yes,nocollege,4,iPhone/iPod,667,375,Safari,3E24UO25QZL13CECQNFWKGZL1IK6O1,3GSIANI2QT82ZCEA9256017TJV6PDY,Descripciones de objetos,Va a ver 26 pares de descripciones cortas de objetos. Tiene que elegir la que suena mejor.,idioma investigaciones ciencia cognitiva universidad,$0.40,Wed Apr 25 16:47:16 PDT 2018,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Fri May 25 16:47:16 PDT 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3E24UO25QZL13CECQNFWKGZL1IK6O1,3ZAK8W07I5A4PQANBMGQZ4D7YA1U09,0,Approved,Thu Apr 26 09:32:20 PDT 2018,Wed Apr 25 16:47:46 PDT 2018,Wed Apr 25 16:52:20 PDT 2018,Thu Apr 26 09:32:37 PDT 2018,,,,,[],4.3543
0,queso,masculine,food,8,cuadrado,rojo,shape,0.97,color,most,both8,spaneng,Espanol,native,1,Male,33,SpanSpan,"
",mostlive,Yes,yes,nocollege,4,iPhone/iPod,667,375,Safari,3E24UO25QZL13CECQNFWKGZL1IK6O1,3GSIANI2QT82ZCEA9256017TJV6PDY,Descripciones de objetos,Va a ver 26 pares de descripciones cortas de objetos. Tiene que elegir la que suena mejor.,idioma investigaciones ciencia cognitiva universidad,$0.40,Wed Apr 25 16:47:16 PDT 2018,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Fri May 25 16:47:16 PDT 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3E24UO25QZL13CECQNFWKGZL1IK6O1,3ZAK8W07I5A4PQANBMGQZ4D7YA1U09,0,Approved,Thu Apr 26 09:32:20 PDT 2018,Wed Apr 25 16:47:46 PDT 2018,Wed Apr 25 16:52:20 PDT 2018,Thu Apr 26 09:32:37 PDT 2018,,,,,[],4.3543
0,zanahoria,feminine,food,9,suave,corto,texture,0.01,size,most,both8,spaneng,Espanol,native,1,Male,33,SpanSpan,"
",mostlive,Yes,yes,nocollege,4,iPhone/iPod,667,375,Safari,3E24UO25QZL13CECQNFWKGZL1IK6O1,3GSIANI2QT82ZCEA9256017TJV6PDY,Descripciones de objetos,Va a ver 26 pares de descripciones cortas de objetos. Tiene que elegir la que suena mejor.,idioma investigaciones ciencia cognitiva universidad,$0.40,Wed Apr 25 16:47:16 PDT 2018,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Fri May 25 16:47:16 PDT 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3E24UO25QZL13CECQNFWKGZL1IK6O1,3ZAK8W07I5A4PQANBMGQZ4D7YA1U09,0,Approved,Thu Apr 26 09:32:20 PDT 2018,Wed Apr 25 16:47:46 PDT 2018,Wed Apr 25 16:52:20 PDT 2018,Thu Apr 26 09:32:37 PDT 2018,,,,,[],4.3543
0,televisi&oacute;n ,feminine,furniture,10,duro,enorme,texture,0.01,size,most,both8,spaneng,Espanol,native,1,Male,33,SpanSpan,"
",mostlive,Yes,yes,nocollege,4,iPhone/iPod,667,375,Safari,3E24UO25QZL13CECQNFWKGZL1IK6O1,3GSIANI2QT82ZCEA9256017TJV6PDY,Descripciones de objetos,Va a ver 26 pares de descripciones cortas de objetos. Tiene que elegir la que suena mejor.,idioma investigaciones ciencia cognitiva universidad,$0.40,Wed Apr 25 16:47:16 PDT 2018,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Fri May 25 16:47:16 PDT 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3E24UO25QZL13CECQNFWKGZL1IK6O1,3ZAK8W07I5A4PQANBMGQZ4D7YA1U09,0,Approved,Thu Apr 26 09:32:20 PDT 2018,Wed Apr 25 16:47:46 PDT 2018,Wed Apr 25 16:52:20 PDT 2018,Thu Apr 26 09:32:37 PDT 2018,,,,,[],4.3543
0,pl&aacute;tano,masculine,food,11,pl&aacute;stico,verde,material,0.01,color,most,both8,spaneng,Espanol,native,1,Male,33,SpanSpan,"
",mostlive,Yes,yes,nocollege,4,iPhone/iPod,667,375,Safari,3E24UO25QZL13CECQNFWKGZL1IK6O1,3GSIANI2QT82ZCEA9256017TJV6PDY,Descripciones de objetos,Va a ver 26 pares de descripciones cortas de objetos. Tiene que elegir la que suena mejor.,idioma investigaciones ciencia cognitiva universidad,$0.40,Wed Apr 25 16:47:16 PDT 2018,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Fri May 25 16:47:16 PDT 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3E24UO25QZL13CECQNFWKGZL1IK6O1,3ZAK8W07I5A4PQANBMGQZ4D7YA1U09,0,Approved,Thu Apr 26 09:32:20 PDT 2018,Wed Apr 25 16:47:46 PDT 2018,Wed Apr 25 16:52:20 PDT 2018,Thu Apr 26 09:32:37 PDT 2018,,,,,[],4.3543
0,ventilador,masculine,furniture,12,pl&aacute;stico,rojo,material,0.01,color,most,both8,spaneng,Espanol,native,1,Male,33,SpanSpan,"
",mostlive,Yes,yes,nocollege,4,iPhone/iPod,667,375,Safari,3E24UO25QZL13CECQNFWKGZL1IK6O1,3GSIANI2QT82ZCEA9256017TJV6PDY,Descripciones de objetos,Va a ver 26 pares de descripciones cortas de objetos. Tiene que elegir la que suena mejor.,idioma investigaciones ciencia cognitiva universidad,$0.40,Wed Apr 25 16:47:16 PDT 2018,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Fri May 25 16:47:16 PDT 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3E24UO25QZL13CECQNFWKGZL1IK6O1,3ZAK8W07I5A4PQANBMGQZ4D7YA1U09,0,Approved,Thu Apr 26 09:32:20 PDT 2018,Wed Apr 25 16:47:46 PDT 2018,Wed Apr 25 16:52:20 PDT 2018,Thu Apr 26 09:32:37 PDT 2018,,,,,[],4.3543
