"","workerid","noun","gender","nounclass","slide_number","predicate1","predicate2","class1","class2","response","language","school","age","assess","education","lived","level","family","years","describe","classes"
"27","1","televisi&oacute;n ","feminine","furniture","3","podrido","largo","age","size",0.55,"Espanol","none","41","Yes","1","both8","native","span","mostlive","SpanSpan","no"
"28","1","silla","feminine","furniture","4","verde","peque&ntilde;o","color","size",0.77,"Espanol","none","41","Yes","1","both8","native","span","mostlive","SpanSpan","no"
"29","1","ventilador","masculine","furniture","5","marr&oacute;n","redondo","color","shape",0.2,"Espanol","none","41","Yes","1","both8","native","span","mostlive","SpanSpan","no"
"30","1","silla","feminine","furniture","6","pl&aacute;stico","fresco","material","age",0.55,"Espanol","none","41","Yes","1","both8","native","span","mostlive","SpanSpan","no"
"31","1","silla","feminine","furniture","7","malo","viejo","quality","age",0.76,"Espanol","none","41","Yes","1","both8","native","span","mostlive","SpanSpan","no"
"32","1","zanahoria","feminine","food","8","enorme","redondo","size","shape",0.08,"Espanol","none","41","Yes","1","both8","native","span","mostlive","SpanSpan","no"
"33","1","televisi&oacute;n ","feminine","furniture","9","podrido","azul","age","color",0.34,"Espanol","none","41","Yes","1","both8","native","span","mostlive","SpanSpan","no"
"34","1","pl&aacute;tano","masculine","food","10","bueno","fresco","quality","age",0.67,"Espanol","none","41","Yes","1","both8","native","span","mostlive","SpanSpan","no"
"35","1","queso","masculine","food","11","largo","cuadrado","size","shape",0.74,"Espanol","none","41","Yes","1","both8","native","span","mostlive","SpanSpan","no"
"36","1","escritorio","masculine","furniture","12","de madera","duro","material","texture",0.28,"Espanol","none","41","Yes","1","both8","native","span","mostlive","SpanSpan","no"
"37","1","escritorio","masculine","furniture","13","marr&oacute;n","de madera","color","material",0.81,"Espanol","none","41","Yes","1","both8","native","span","mostlive","SpanSpan","no"
"38","1","escritorio","masculine","furniture","14","podrido","cuadrado","age","shape",0.2,"Espanol","none","41","Yes","1","both8","native","span","mostlive","SpanSpan","no"
"39","1","silla","feminine","furniture","15","grande","rojo","size","color",0.22,"Espanol","none","41","Yes","1","both8","native","span","mostlive","SpanSpan","no"
"40","1","manzana","feminine","food","16","viejo","bueno","age","quality",0.43,"Espanol","none","41","Yes","1","both8","native","span","mostlive","SpanSpan","no"
"41","1","manzana","feminine","food","17","amarillo","podrido","color","age",0.36,"Espanol","none","41","Yes","1","both8","native","span","mostlive","SpanSpan","no"
"42","1","zanahoria","feminine","food","18","amarillo","min&uacute;sculo","color","size",0.71,"Espanol","none","41","Yes","1","both8","native","span","mostlive","SpanSpan","no"
"43","1","escritorio","masculine","furniture","19","min&uacute;sculo","morado","size","color",0.69,"Espanol","none","41","Yes","1","both8","native","span","mostlive","SpanSpan","no"
