workerid,noun,gender,nounclass,slide_number,predicate2,predicate1,class2,response,class1
0,zanahoria,feminine,food,3,azul,largo,color,0.49,size
0,silla,feminine,furniture,4,podrido,peque&ntilde;o,age,0.37,size
0,zanahoria,feminine,food,5,bueno,viejo,quality,0.7,age
0,silla,feminine,furniture,6,largo,bueno,size,0.85,quality
0,escritorio,masculine,furniture,7,redondo,podrido,shape,0.19,age
0,tomate,masculine,food,8,corto,podrido,size,0.2,age
0,manzana,feminine,food,9,cuadrado,enorme,shape,0.24,size
0,queso,masculine,food,10,liso,verde,texture,0.48,color
0,ventilador,masculine,furniture,11,rojo,bueno,color,0.34,quality
0,ventilador,masculine,furniture,12,amarillo,corto,color,0.67,size
0,ventilador,masculine,furniture,13,verde,nuevo,color,0.26,age
0,manzana,feminine,food,14,viejo,redondo,age,0.28,shape
0,manzana,feminine,food,15,morado,peque&ntilde;o,color,0.5,size
0,tomate,masculine,food,16,nuevo,malo,age,0.49,quality
0,sof&aacute; ,masculine,furniture,17,americano,amarillo,nationality,0.41,color
0,escritorio,masculine,furniture,18,rojo,nuevo,color,0.36,age
0,silla,feminine,furniture,19,fresco,enorme,age,0.64,size
0,silla,feminine,furniture,20,cuadrado,americano,shape,0.68,nationality
0,queso,masculine,food,21,rojo,bueno,color,0.33,quality
0,sof&aacute; ,masculine,furniture,22,duro,espa&ntilde;ol,texture,0.44,nationality
0,zanahoria,feminine,food,23,min&uacute;sculo,fresco,size,0.29,age
0,escritorio,masculine,furniture,24,redondo,duro,shape,0.13,texture
0,zanahoria,feminine,food,25,verde,enorme,color,0.51,size
0,tomate,masculine,food,26,redondo,viejo,shape,0.31,age
0,escritorio,masculine,furniture,27,liso,corto,texture,0.42,size
0,escritorio,masculine,furniture,28,liso,malo,texture,0.4,quality
1,manzana,feminine,food,3,viejo,redondo,age,0.66,shape
1,silla,feminine,furniture,4,fresco,amarillo,age,0.26,color
1,pl&aacute;tano,masculine,food,5,malo,corto,quality,0.69,size
1,sof&aacute; ,masculine,furniture,6,cuadrado,largo,shape,0.77,size
1,queso,masculine,food,7,rojo,americano,color,0.25,nationality
1,televisi&oacute;n ,feminine,furniture,8,min&uacute;sculo,podrido,size,0.25,age
1,manzana,feminine,food,9,fresco,largo,age,0.82,size
1,manzana,feminine,food,10,azul,podrido,color,0.14,age
1,tomate,masculine,food,11,nuevo,cuadrado,age,0.22,shape
1,ventilador,masculine,furniture,12,verde,liso,color,0.78,texture
1,escritorio,masculine,furniture,13,espa&ntilde;ol,min&uacute;sculo,nationality,0.16,size
1,televisi&oacute;n ,feminine,furniture,14,duro,enorme,texture,0.38,size
1,escritorio,masculine,furniture,15,bueno,duro,quality,0.34,texture
1,sof&aacute; ,masculine,furniture,16,cuadrado,nuevo,shape,0.77,age
1,zanahoria,feminine,food,17,bueno,redondo,quality,0.21,shape
1,escritorio,masculine,furniture,18,largo,fresco,size,0.74,age
1,ventilador,masculine,furniture,19,fresco,malo,age,0.28,quality
1,tomate,masculine,food,20,suave,grande,texture,0.26,size
1,tomate,masculine,food,21,mexicano,grande,nationality,0.73,size
1,pl&aacute;tano,masculine,food,22,grande,bueno,size,0.19,quality
1,queso,masculine,food,23,duro,grande,texture,0.73,size
1,tomate,masculine,food,24,mexicano,fresco,nationality,0.78,age
1,escritorio,masculine,furniture,25,rojo,grande,color,0.28,size
1,pl&aacute;tano,masculine,food,26,redondo,largo,shape,0.3,size
