workerid,noun,gender,nounclass,slide_number,predicate2,predicate1,class2,response,class1,school,lived,family,language,level,enjoyment,gender,age,describe,comments,years,assess,classes,college,education,OS,screenH,screenW,Browser,hitid,hittypeid,title,description,keywords,reward,creationtime,assignments,numavailable,numpending,numcomplete,hitstatus,reviewstatus,annotation,assignmentduration,autoapprovaldelay,hitlifetime,viewhit,assignmentid,workerid,assignmentstatus,autoapprovaltime,assignmentaccepttime,assignmentsubmittime,assignmentapprovaltime,assignmentrejecttime,deadline,feedback,reject,Answer.catch_trials,Answer.time_in_minutes
0,queso,masculine,food,3,enorme,nuevo,size,0.65,age,small,under8,eng,TAMIL,basic,1,Male,26,SpanEng,NILL,shortlive,No,no,onesem,2,Windows,800,1280,Chrome,3XDJY5RK5SGI1UUV3LYQMO7WOT84UU,3RPT4N9PTXJGAJSRBIDIX3WYSZC4DO,Descripciones de objetos,Va a ver 26 pares de descripciones cortas de objetos. Tiene que elegir la que suena mejor.,español idioma investigaciones ciencia cognitiva universidad,$0.40,Thu May 03 10:16:43 PDT 2018,9,0,0,5,Reviewable,NotReviewed,1 cond,1800,60000,Sat Jun 02 10:16:43 PDT 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3XDJY5RK5SGI1UUV3LYQMO7WOT84UU,3R2PKQ87NX4WJDMU6AEAEYW986BMID,0,Approved,Fri May 04 03:06:46 PDT 2018,Thu May 03 10:21:14 PDT 2018,Thu May 03 10:26:46 PDT 2018,Fri May 04 03:07:04 PDT 2018,,,,,[],5.049566666666666
0,ventilador,masculine,furniture,4,malo,liso,quality,0.94,texture,small,under8,eng,TAMIL,basic,1,Male,26,SpanEng,NILL,shortlive,No,no,onesem,2,Windows,800,1280,Chrome,3XDJY5RK5SGI1UUV3LYQMO7WOT84UU,3RPT4N9PTXJGAJSRBIDIX3WYSZC4DO,Descripciones de objetos,Va a ver 26 pares de descripciones cortas de objetos. Tiene que elegir la que suena mejor.,español idioma investigaciones ciencia cognitiva universidad,$0.40,Thu May 03 10:16:43 PDT 2018,9,0,0,5,Reviewable,NotReviewed,1 cond,1800,60000,Sat Jun 02 10:16:43 PDT 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3XDJY5RK5SGI1UUV3LYQMO7WOT84UU,3R2PKQ87NX4WJDMU6AEAEYW986BMID,0,Approved,Fri May 04 03:06:46 PDT 2018,Thu May 03 10:21:14 PDT 2018,Thu May 03 10:26:46 PDT 2018,Fri May 04 03:07:04 PDT 2018,,,,,[],5.049566666666666
0,silla,feminine,furniture,5,mexicano,cuadrado,nationality,0.83,shape,small,under8,eng,TAMIL,basic,1,Male,26,SpanEng,NILL,shortlive,No,no,onesem,2,Windows,800,1280,Chrome,3XDJY5RK5SGI1UUV3LYQMO7WOT84UU,3RPT4N9PTXJGAJSRBIDIX3WYSZC4DO,Descripciones de objetos,Va a ver 26 pares de descripciones cortas de objetos. Tiene que elegir la que suena mejor.,español idioma investigaciones ciencia cognitiva universidad,$0.40,Thu May 03 10:16:43 PDT 2018,9,0,0,5,Reviewable,NotReviewed,1 cond,1800,60000,Sat Jun 02 10:16:43 PDT 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3XDJY5RK5SGI1UUV3LYQMO7WOT84UU,3R2PKQ87NX4WJDMU6AEAEYW986BMID,0,Approved,Fri May 04 03:06:46 PDT 2018,Thu May 03 10:21:14 PDT 2018,Thu May 03 10:26:46 PDT 2018,Fri May 04 03:07:04 PDT 2018,,,,,[],5.049566666666666
0,zanahoria,feminine,food,6,mexicano,azul,nationality,0.92,color,small,under8,eng,TAMIL,basic,1,Male,26,SpanEng,NILL,shortlive,No,no,onesem,2,Windows,800,1280,Chrome,3XDJY5RK5SGI1UUV3LYQMO7WOT84UU,3RPT4N9PTXJGAJSRBIDIX3WYSZC4DO,Descripciones de objetos,Va a ver 26 pares de descripciones cortas de objetos. Tiene que elegir la que suena mejor.,español idioma investigaciones ciencia cognitiva universidad,$0.40,Thu May 03 10:16:43 PDT 2018,9,0,0,5,Reviewable,NotReviewed,1 cond,1800,60000,Sat Jun 02 10:16:43 PDT 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3XDJY5RK5SGI1UUV3LYQMO7WOT84UU,3R2PKQ87NX4WJDMU6AEAEYW986BMID,0,Approved,Fri May 04 03:06:46 PDT 2018,Thu May 03 10:21:14 PDT 2018,Thu May 03 10:26:46 PDT 2018,Fri May 04 03:07:04 PDT 2018,,,,,[],5.049566666666666
0,televisi&oacute;n ,feminine,furniture,7,podrido,rojo,age,0.88,color,small,under8,eng,TAMIL,basic,1,Male,26,SpanEng,NILL,shortlive,No,no,onesem,2,Windows,800,1280,Chrome,3XDJY5RK5SGI1UUV3LYQMO7WOT84UU,3RPT4N9PTXJGAJSRBIDIX3WYSZC4DO,Descripciones de objetos,Va a ver 26 pares de descripciones cortas de objetos. Tiene que elegir la que suena mejor.,español idioma investigaciones ciencia cognitiva universidad,$0.40,Thu May 03 10:16:43 PDT 2018,9,0,0,5,Reviewable,NotReviewed,1 cond,1800,60000,Sat Jun 02 10:16:43 PDT 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3XDJY5RK5SGI1UUV3LYQMO7WOT84UU,3R2PKQ87NX4WJDMU6AEAEYW986BMID,0,Approved,Fri May 04 03:06:46 PDT 2018,Thu May 03 10:21:14 PDT 2018,Thu May 03 10:26:46 PDT 2018,Fri May 04 03:07:04 PDT 2018,,,,,[],5.049566666666666
0,sof&aacute; ,masculine,furniture,8,viejo,malo,age,0.84,quality,small,under8,eng,TAMIL,basic,1,Male,26,SpanEng,NILL,shortlive,No,no,onesem,2,Windows,800,1280,Chrome,3XDJY5RK5SGI1UUV3LYQMO7WOT84UU,3RPT4N9PTXJGAJSRBIDIX3WYSZC4DO,Descripciones de objetos,Va a ver 26 pares de descripciones cortas de objetos. Tiene que elegir la que suena mejor.,español idioma investigaciones ciencia cognitiva universidad,$0.40,Thu May 03 10:16:43 PDT 2018,9,0,0,5,Reviewable,NotReviewed,1 cond,1800,60000,Sat Jun 02 10:16:43 PDT 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3XDJY5RK5SGI1UUV3LYQMO7WOT84UU,3R2PKQ87NX4WJDMU6AEAEYW986BMID,0,Approved,Fri May 04 03:06:46 PDT 2018,Thu May 03 10:21:14 PDT 2018,Thu May 03 10:26:46 PDT 2018,Fri May 04 03:07:04 PDT 2018,,,,,[],5.049566666666666
0,silla,feminine,furniture,9,redondo,espa&ntilde;ol,shape,0.69,nationality,small,under8,eng,TAMIL,basic,1,Male,26,SpanEng,NILL,shortlive,No,no,onesem,2,Windows,800,1280,Chrome,3XDJY5RK5SGI1UUV3LYQMO7WOT84UU,3RPT4N9PTXJGAJSRBIDIX3WYSZC4DO,Descripciones de objetos,Va a ver 26 pares de descripciones cortas de objetos. Tiene que elegir la que suena mejor.,español idioma investigaciones ciencia cognitiva universidad,$0.40,Thu May 03 10:16:43 PDT 2018,9,0,0,5,Reviewable,NotReviewed,1 cond,1800,60000,Sat Jun 02 10:16:43 PDT 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3XDJY5RK5SGI1UUV3LYQMO7WOT84UU,3R2PKQ87NX4WJDMU6AEAEYW986BMID,0,Approved,Fri May 04 03:06:46 PDT 2018,Thu May 03 10:21:14 PDT 2018,Thu May 03 10:26:46 PDT 2018,Fri May 04 03:07:04 PDT 2018,,,,,[],5.049566666666666
0,pl&aacute;tano,masculine,food,10,grande,morado,size,0.86,color,small,under8,eng,TAMIL,basic,1,Male,26,SpanEng,NILL,shortlive,No,no,onesem,2,Windows,800,1280,Chrome,3XDJY5RK5SGI1UUV3LYQMO7WOT84UU,3RPT4N9PTXJGAJSRBIDIX3WYSZC4DO,Descripciones de objetos,Va a ver 26 pares de descripciones cortas de objetos. Tiene que elegir la que suena mejor.,español idioma investigaciones ciencia cognitiva universidad,$0.40,Thu May 03 10:16:43 PDT 2018,9,0,0,5,Reviewable,NotReviewed,1 cond,1800,60000,Sat Jun 02 10:16:43 PDT 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3XDJY5RK5SGI1UUV3LYQMO7WOT84UU,3R2PKQ87NX4WJDMU6AEAEYW986BMID,0,Approved,Fri May 04 03:06:46 PDT 2018,Thu May 03 10:21:14 PDT 2018,Thu May 03 10:26:46 PDT 2018,Fri May 04 03:07:04 PDT 2018,,,,,[],5.049566666666666
0,escritorio,masculine,furniture,11,espa&ntilde;ol,rojo,nationality,0.64,color,small,under8,eng,TAMIL,basic,1,Male,26,SpanEng,NILL,shortlive,No,no,onesem,2,Windows,800,1280,Chrome,3XDJY5RK5SGI1UUV3LYQMO7WOT84UU,3RPT4N9PTXJGAJSRBIDIX3WYSZC4DO,Descripciones de objetos,Va a ver 26 pares de descripciones cortas de objetos. Tiene que elegir la que suena mejor.,español idioma investigaciones ciencia cognitiva universidad,$0.40,Thu May 03 10:16:43 PDT 2018,9,0,0,5,Reviewable,NotReviewed,1 cond,1800,60000,Sat Jun 02 10:16:43 PDT 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3XDJY5RK5SGI1UUV3LYQMO7WOT84UU,3R2PKQ87NX4WJDMU6AEAEYW986BMID,0,Approved,Fri May 04 03:06:46 PDT 2018,Thu May 03 10:21:14 PDT 2018,Thu May 03 10:26:46 PDT 2018,Fri May 04 03:07:04 PDT 2018,,,,,[],5.049566666666666
0,pl&aacute;tano,masculine,food,12,morado,cuadrado,color,0.88,shape,small,under8,eng,TAMIL,basic,1,Male,26,SpanEng,NILL,shortlive,No,no,onesem,2,Windows,800,1280,Chrome,3XDJY5RK5SGI1UUV3LYQMO7WOT84UU,3RPT4N9PTXJGAJSRBIDIX3WYSZC4DO,Descripciones de objetos,Va a ver 26 pares de descripciones cortas de objetos. Tiene que elegir la que suena mejor.,español idioma investigaciones ciencia cognitiva universidad,$0.40,Thu May 03 10:16:43 PDT 2018,9,0,0,5,Reviewable,NotReviewed,1 cond,1800,60000,Sat Jun 02 10:16:43 PDT 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3XDJY5RK5SGI1UUV3LYQMO7WOT84UU,3R2PKQ87NX4WJDMU6AEAEYW986BMID,0,Approved,Fri May 04 03:06:46 PDT 2018,Thu May 03 10:21:14 PDT 2018,Thu May 03 10:26:46 PDT 2018,Fri May 04 03:07:04 PDT 2018,,,,,[],5.049566666666666
