date,workerid,amount
Thu May 03 12:46:43 PDT 2018,A1V3FV89RVGASD,0.4
Thu May 03 13:35:30 PDT 2018,A3687PTO5KRTJ5,0.4
Thu May 03 19:39:43 PDT 2018,A3MGT5W3JD5V89,0.4
Fri May 04 02:04:51 PDT 2018,A2J0Y8YOCVRZV2,0.4
Fri May 04 22:58:42 PDT 2018,A3QM1KG3JSQUXX,0.4
Sat May 05 16:34:45 PDT 2018,A1IUFF5L5OOQSQ,0.4
Sat May 05 20:02:42 PDT 2018,A3VVO785FHNN3I,0.4
Sun May 06 08:07:04 PDT 2018,A1ND8EFNLQC9A7,0.4
Sun May 06 08:57:15 PDT 2018,A1C7ZZ2KAOJ63M,0.4
,total paid to workers:,=SUM(c2:c10)
,40% paid to Amazon:,=.4*c11
,total:,=SUM(c11:c12
