"","workerid","noun","gender","nounclass","slide_number","predicate1","predicate2","class1","class2","response","language","school","age","assess","education","lived","level","family","years","describe","classes","gender.1"
"235","vi. 45","manzana","feminine","food","3","morado","podrido","color","age",0.93,"español","none",36,"Yes","3","both8","native","span","mostlive","SpanSpan","noclasses","Male"
"236","vi. 45","zanahoria","feminine","food","4","marr&oacute;n","liso","color","texture",0.01,"español","none",36,"Yes","3","both8","native","span","mostlive","SpanSpan","noclasses","Male"
"237","vi. 45","ventilador","masculine","furniture","5","mexicano","bueno","nationality","quality",0.96,"español","none",36,"Yes","3","both8","native","span","mostlive","SpanSpan","noclasses","Male"
"238","vi. 45","zanahoria","feminine","food","6","nuevo","marr&oacute;n","age","color",0.97,"español","none",36,"Yes","3","both8","native","span","mostlive","SpanSpan","noclasses","Male"
"239","vi. 45","tomate","masculine","food","7","verde","liso","color","texture",0.94,"español","none",36,"Yes","3","both8","native","span","mostlive","SpanSpan","noclasses","Male"
"240","vi. 45","manzana","feminine","food","8","bueno","fresco","quality","age",0.85,"español","none",36,"Yes","3","both8","native","span","mostlive","SpanSpan","noclasses","Male"
"241","vi. 45","queso","masculine","food","9","duro","fresco","texture","age",0.01,"español","none",36,"Yes","3","both8","native","span","mostlive","SpanSpan","noclasses","Male"
"242","vi. 45","televisi&oacute;n ","feminine","furniture","10","bueno","enorme","quality","size",0.04,"español","none",36,"Yes","3","both8","native","span","mostlive","SpanSpan","noclasses","Male"
"243","vi. 45","tomate","masculine","food","11","nuevo","largo","age","size",0.92,"español","none",36,"Yes","3","both8","native","span","mostlive","SpanSpan","noclasses","Male"
"244","vi. 45","tomate","masculine","food","12","min&uacute;sculo","marr&oacute;n","size","color",0.07,"español","none",36,"Yes","3","both8","native","span","mostlive","SpanSpan","noclasses","Male"
"245","vi. 45","ventilador","masculine","furniture","13","mexicano","verde","nationality","color",0.07,"español","none",36,"Yes","3","both8","native","span","mostlive","SpanSpan","noclasses","Male"
"246","vi. 45","zanahoria","feminine","food","14","suave","rojo","texture","color",0.03,"español","none",36,"Yes","3","both8","native","span","mostlive","SpanSpan","noclasses","Male"
"247","vi. 45","sof&aacute; ","masculine","furniture","15","nuevo","bueno","age","quality",0.14,"español","none",36,"Yes","3","both8","native","span","mostlive","SpanSpan","noclasses","Male"
"248","vi. 45","pl&aacute;tano","masculine","food","16","azul","duro","color","texture",0.07,"español","none",36,"Yes","3","both8","native","span","mostlive","SpanSpan","noclasses","Male"
"249","vi. 45","sof&aacute; ","masculine","furniture","17","cuadrado","nuevo","shape","age",0.02,"español","none",36,"Yes","3","both8","native","span","mostlive","SpanSpan","noclasses","Male"
"250","vi. 45","televisi&oacute;n ","feminine","furniture","18","morado","largo","color","size",0.12,"español","none",36,"Yes","3","both8","native","span","mostlive","SpanSpan","noclasses","Male"
"251","vi. 45","zanahoria","feminine","food","19","corto","marr&oacute;n","size","color",0.09,"español","none",36,"Yes","3","both8","native","span","mostlive","SpanSpan","noclasses","Male"
"252","vi. 45","silla","feminine","furniture","20","morado","suave","color","texture",0.13,"español","none",36,"Yes","3","both8","native","span","mostlive","SpanSpan","noclasses","Male"
"253","vi. 45","tomate","masculine","food","21","podrido","amarillo","age","color",0.05,"español","none",36,"Yes","3","both8","native","span","mostlive","SpanSpan","noclasses","Male"
"254","vi. 45","silla","feminine","furniture","22","min&uacute;sculo","morado","size","color",0.06,"español","none",36,"Yes","3","both8","native","span","mostlive","SpanSpan","noclasses","Male"
"255","vi. 45","televisi&oacute;n ","feminine","furniture","23","min&uacute;sculo","verde","size","color",0.05,"español","none",36,"Yes","3","both8","native","span","mostlive","SpanSpan","noclasses","Male"
