date,workerid,amount
Tue May 22 09:18:27 PDT 2018,A33B85TN97HQ33,0.4
Tue May 22 11:56:22 PDT 2018,A1OM0BW883BZ0T,0.4
Tue May 22 12:00:51 PDT 2018,A14ZZHR5MXBT3C,0.4
Tue May 22 16:56:26 PDT 2018,A1KX3LRN6JMVMD,0.4
Wed May 23 01:10:57 PDT 2018,A39PRXJOHFGX3A,0.4
Wed May 23 04:42:57 PDT 2018,A1TGT6FVIZRNS5,0.4
Wed May 23 05:29:52 PDT 2018,A16ZR6O5HQP5AM,0.4
Wed May 23 09:02:20 PDT 2018,A3MXZMAX4XEZU4,0.4
Wed May 23 10:57:39 PDT 2018,A3J1YKAVS8LIRU,0.4
,total paid to workers:,=SUM(c2:c10)
,40% paid to Amazon:,=.4*c11
,total:,=SUM(c11:c12
