"","workerid","firstutterance","noun","nounclass","slide_number","predicate","class","response","language","school","age","assess","education","lived","level","family","years","describe","classes","gender.1"
"27","1","es","zanahoria","food","3","redondo","shape",0,"Español","most",18,"Yes","1","both8","native","span","mostlive","SpanSpan","yes","Male"
"28","1","no es","queso","food","4","largo","size",0.19,"Español","most",18,"Yes","1","both8","native","span","mostlive","SpanSpan","yes","Male"
"29","1","no es","zanahoria","food","5","morado","color",0,"Español","most",18,"Yes","1","both8","native","span","mostlive","SpanSpan","yes","Male"
"30","1","no es","ventilador","furniture","6","enorme","size",0.02,"Español","most",18,"Yes","1","both8","native","span","mostlive","SpanSpan","yes","Male"
"31","1","es","zanahoria","food","7","liso","texture",0.77,"Español","most",18,"Yes","1","both8","native","span","mostlive","SpanSpan","yes","Male"
"32","1","no es","silla","furniture","8","nuevo","age",0.74,"Español","most",18,"Yes","1","both8","native","span","mostlive","SpanSpan","yes","Male"
"33","1","no es","manzana","food","9","malo","quality",0.01,"Español","most",18,"Yes","1","both8","native","span","mostlive","SpanSpan","yes","Male"
"34","1","es","zanahoria","food","10","min&uacute;sculo","size",0.74,"Español","most",18,"Yes","1","both8","native","span","mostlive","SpanSpan","yes","Male"
"35","1","no es","queso","food","11","viejo","age",0.03,"Español","most",18,"Yes","1","both8","native","span","mostlive","SpanSpan","yes","Male"
"36","1","es","pl&aacute;tano","food","12","bueno","quality",1,"Español","most",18,"Yes","1","both8","native","span","mostlive","SpanSpan","yes","Male"
"37","1","no es","tomate","food","13","fresco","age",0.13,"Español","most",18,"Yes","1","both8","native","span","mostlive","SpanSpan","yes","Male"
"38","1","est&aacute;","silla","furniture","14","podrido","age",0.04,"Español","most",18,"Yes","1","both8","native","span","mostlive","SpanSpan","yes","Male"
"39","1","es","escritorio","furniture","15","cuadrado","shape",0.04,"Español","most",18,"Yes","1","both8","native","span","mostlive","SpanSpan","yes","Male"
"40","1","es","zanahoria","food","16","americano","nationality",0.04,"Español","most",18,"Yes","1","both8","native","span","mostlive","SpanSpan","yes","Male"
"41","1","no es","sof&aacute; ","furniture","17","rojo","color",0.04,"Español","most",18,"Yes","1","both8","native","span","mostlive","SpanSpan","yes","Male"
"42","1","no es","queso","food","18","marr&oacute;n","color",0.01,"Español","most",18,"Yes","1","both8","native","span","mostlive","SpanSpan","yes","Male"
"43","1","es","televisi&oacute;n ","furniture","19","peque&ntilde;o","size",0.97,"Español","most",18,"Yes","1","both8","native","span","mostlive","SpanSpan","yes","Male"
"44","1","no es","zanahoria","food","20","espa&ntilde;ol","nationality",0.02,"Español","most",18,"Yes","1","both8","native","span","mostlive","SpanSpan","yes","Male"
"45","1","es","ventilador","furniture","21","suave","texture",0.16,"Español","most",18,"Yes","1","both8","native","span","mostlive","SpanSpan","yes","Male"
"46","1","es","queso","food","22","verde","color",0.01,"Español","most",18,"Yes","1","both8","native","span","mostlive","SpanSpan","yes","Male"
"47","1","es","televisi&oacute;n ","furniture","23","mexicano","nationality",0.02,"Español","most",18,"Yes","1","both8","native","span","mostlive","SpanSpan","yes","Male"
"48","1","es","tomate","food","24","duro","texture",0.97,"Español","most",18,"Yes","1","both8","native","span","mostlive","SpanSpan","yes","Male"
"49","1","no es","ventilador","furniture","25","grande","size",0.71,"Español","most",18,"Yes","1","both8","native","span","mostlive","SpanSpan","yes","Male"
"50","1","no es","pl&aacute;tano","food","26","azul","color",0.04,"Español","most",18,"Yes","1","both8","native","span","mostlive","SpanSpan","yes","Male"
"51","1","no es","silla","furniture","27","corto","size",0.57,"Español","most",18,"Yes","1","both8","native","span","mostlive","SpanSpan","yes","Male"
"52","1","no es","tomate","food","28","amarillo","color",0,"Español","most",18,"Yes","1","both8","native","span","mostlive","SpanSpan","yes","Male"
"235","9","es","televisi&oacute;n ","furniture","3","marr&oacute;n","color",0,"Español","none",29,"Yes","3","both8","native","span","mostlive","SpanSpan","no","Male"
"236","9","es","escritorio","furniture","4","corto","size",1,"Español","none",29,"Yes","3","both8","native","span","mostlive","SpanSpan","no","Male"
"237","9","no es","silla","furniture","5","nuevo","age",0.32,"Español","none",29,"Yes","3","both8","native","span","mostlive","SpanSpan","no","Male"
"238","9","no es","televisi&oacute;n ","furniture","6","suave","texture",0.15,"Español","none",29,"Yes","3","both8","native","span","mostlive","SpanSpan","no","Male"
"239","9","es","zanahoria","food","7","cuadrado","shape",0,"Español","none",29,"Yes","3","both8","native","span","mostlive","SpanSpan","no","Male"
"240","9","no es","tomate","food","8","largo","size",0.06,"Español","none",29,"Yes","3","both8","native","span","mostlive","SpanSpan","no","Male"
"241","9","es","tomate","food","9","grande","size",0.89,"Español","none",29,"Yes","3","both8","native","span","mostlive","SpanSpan","no","Male"
"242","9","no es","zanahoria","food","10","malo","quality",1,"Español","none",29,"Yes","3","both8","native","span","mostlive","SpanSpan","no","Male"
"243","9","es","pl&aacute;tano","food","11","peque&ntilde;o","size",0.94,"Español","none",29,"Yes","3","both8","native","span","mostlive","SpanSpan","no","Male"
"244","9","no es","ventilador","furniture","12","enorme","size",0.8,"Español","none",29,"Yes","3","both8","native","span","mostlive","SpanSpan","no","Male"
"245","9","no es","zanahoria","food","13","espa&ntilde;ol","nationality",0,"Español","none",29,"Yes","3","both8","native","span","mostlive","SpanSpan","no","Male"
"246","9","es","zanahoria","food","14","rojo","color",0.11,"Español","none",29,"Yes","3","both8","native","span","mostlive","SpanSpan","no","Male"
"247","9","es","queso","food","15","mexicano","nationality",0,"Español","none",29,"Yes","3","both8","native","span","mostlive","SpanSpan","no","Male"
"248","9","no es","televisi&oacute;n ","furniture","16","viejo","age",0.67,"Español","none",29,"Yes","3","both8","native","span","mostlive","SpanSpan","no","Male"
"249","9","no es","silla","furniture","17","azul","color",0,"Español","none",29,"Yes","3","both8","native","span","mostlive","SpanSpan","no","Male"
"250","9","es","tomate","food","18","amarillo","color",0.09,"Español","none",29,"Yes","3","both8","native","span","mostlive","SpanSpan","no","Male"
"251","9","es","pl&aacute;tano","food","19","liso","texture",0.07,"Español","none",29,"Yes","3","both8","native","span","mostlive","SpanSpan","no","Male"
"252","9","no es","pl&aacute;tano","food","20","verde","color",0.27,"Español","none",29,"Yes","3","both8","native","span","mostlive","SpanSpan","no","Male"
"253","9","es","televisi&oacute;n ","furniture","21","fresco","age",1,"Español","none",29,"Yes","3","both8","native","span","mostlive","SpanSpan","no","Male"
"254","9","es","manzana","food","22","min&uacute;sculo","size",0.74,"Español","none",29,"Yes","3","both8","native","span","mostlive","SpanSpan","no","Male"
"255","9","no es","televisi&oacute;n ","furniture","23","duro","texture",0.1,"Español","none",29,"Yes","3","both8","native","span","mostlive","SpanSpan","no","Male"
"256","9","no es","escritorio","furniture","24","bueno","quality",0.79,"Español","none",29,"Yes","3","both8","native","span","mostlive","SpanSpan","no","Male"
"257","9","no es","sof&aacute; ","furniture","25","morado","color",0.06,"Español","none",29,"Yes","3","both8","native","span","mostlive","SpanSpan","no","Male"
"258","9","es","escritorio","furniture","26","americano","nationality",0,"Español","none",29,"Yes","3","both8","native","span","mostlive","SpanSpan","no","Male"
"259","9","no est&aacute;","sof&aacute; ","furniture","27","podrido","age",0.18,"Español","none",29,"Yes","3","both8","native","span","mostlive","SpanSpan","no","Male"
"260","9","es","tomate","food","28","redondo","shape",0.45,"Español","none",29,"Yes","3","both8","native","span","mostlive","SpanSpan","no","Male"
"313","12","es","pl&aacute;tano","food","3","duro","texture",1,"espanñol","none",21,"Yes","1","both8","native","span","mostlive","SpanSpan","noclasses","Female"
"314","12","no es","manzana","food","4","viejo","age",1,"espanñol","none",21,"Yes","1","both8","native","span","mostlive","SpanSpan","noclasses","Female"
"315","12","es","zanahoria","food","5","verde","color",0,"espanñol","none",21,"Yes","1","both8","native","span","mostlive","SpanSpan","noclasses","Female"
"316","12","no est&aacute;","queso","food","6","podrido","age",1,"espanñol","none",21,"Yes","1","both8","native","span","mostlive","SpanSpan","noclasses","Female"
"317","12","es","pl&aacute;tano","food","7","min&uacute;sculo","size",1,"espanñol","none",21,"Yes","1","both8","native","span","mostlive","SpanSpan","noclasses","Female"
"318","12","es","pl&aacute;tano","food","8","marr&oacute;n","color",0,"espanñol","none",21,"Yes","1","both8","native","span","mostlive","SpanSpan","noclasses","Female"
"319","12","no es","pl&aacute;tano","food","9","rojo","color",0,"espanñol","none",21,"Yes","1","both8","native","span","mostlive","SpanSpan","noclasses","Female"
"320","12","es","sof&aacute; ","furniture","10","suave","texture",1,"espanñol","none",21,"Yes","1","both8","native","span","mostlive","SpanSpan","noclasses","Female"
"321","12","es","silla","furniture","11","morado","color",0,"espanñol","none",21,"Yes","1","both8","native","span","mostlive","SpanSpan","noclasses","Female"
"322","12","no es","zanahoria","food","12","corto","size",0,"espanñol","none",21,"Yes","1","both8","native","span","mostlive","SpanSpan","noclasses","Female"
"323","12","es","escritorio","furniture","13","nuevo","age",0,"espanñol","none",21,"Yes","1","both8","native","span","mostlive","SpanSpan","noclasses","Female"
"324","12","no es","silla","furniture","14","largo","size",0,"espanñol","none",21,"Yes","1","both8","native","span","mostlive","SpanSpan","noclasses","Female"
"325","12","es","pl&aacute;tano","food","15","americano","nationality",0,"espanñol","none",21,"Yes","1","both8","native","span","mostlive","SpanSpan","noclasses","Female"
"326","12","es","sof&aacute; ","furniture","16","peque&ntilde;o","size",1,"espanñol","none",21,"Yes","1","both8","native","span","mostlive","SpanSpan","noclasses","Female"
"327","12","no es","tomate","food","17","enorme","size",1,"espanñol","none",21,"Yes","1","both8","native","span","mostlive","SpanSpan","noclasses","Female"
"328","12","no es","manzana","food","18","malo","quality",1,"espanñol","none",21,"Yes","1","both8","native","span","mostlive","SpanSpan","noclasses","Female"
"329","12","no es","zanahoria","food","19","fresco","age",1,"espanñol","none",21,"Yes","1","both8","native","span","mostlive","SpanSpan","noclasses","Female"
"330","12","es","manzana","food","20","cuadrado","shape",0,"espanñol","none",21,"Yes","1","both8","native","span","mostlive","SpanSpan","noclasses","Female"
"331","12","es","silla","furniture","21","azul","color",0,"espanñol","none",21,"Yes","1","both8","native","span","mostlive","SpanSpan","noclasses","Female"
"332","12","no es","escritorio","furniture","22","redondo","shape",0,"espanñol","none",21,"Yes","1","both8","native","span","mostlive","SpanSpan","noclasses","Female"
"333","12","es","televisi&oacute;n ","furniture","23","amarillo","color",0.02,"espanñol","none",21,"Yes","1","both8","native","span","mostlive","SpanSpan","noclasses","Female"
"334","12","es","silla","furniture","24","mexicano","nationality",0,"espanñol","none",21,"Yes","1","both8","native","span","mostlive","SpanSpan","noclasses","Female"
"335","12","no es","manzana","food","25","bueno","quality",1,"espanñol","none",21,"Yes","1","both8","native","span","mostlive","SpanSpan","noclasses","Female"
"336","12","no es","zanahoria","food","26","grande","size",0,"espanñol","none",21,"Yes","1","both8","native","span","mostlive","SpanSpan","noclasses","Female"
"337","12","no es","pl&aacute;tano","food","27","liso","texture",0,"espanñol","none",21,"Yes","1","both8","native","span","mostlive","SpanSpan","noclasses","Female"
"338","12","no es","televisi&oacute;n ","furniture","28","espa&ntilde;ol","nationality",0,"espanñol","none",21,"Yes","1","both8","native","span","mostlive","SpanSpan","noclasses","Female"
"443","17","es","ventilador","furniture","3","espa&ntilde;ol","nationality",1,"español","most",37,NA,"2","both8","native","","mostlive","SpanSpan","yes","Female"
"444","17","es","tomate","food","4","malo","quality",0.02,"español","most",37,NA,"2","both8","native","","mostlive","SpanSpan","yes","Female"
"445","17","es","escritorio","furniture","5","verde","color",1,"español","most",37,NA,"2","both8","native","","mostlive","SpanSpan","yes","Female"
"446","17","no es","queso","food","6","fresco","age",0,"español","most",37,NA,"2","both8","native","","mostlive","SpanSpan","yes","Female"
"447","17","no es","queso","food","7","largo","size",0,"español","most",37,NA,"2","both8","native","","mostlive","SpanSpan","yes","Female"
"448","17","no es","pl&aacute;tano","food","8","morado","color",0,"español","most",37,NA,"2","both8","native","","mostlive","SpanSpan","yes","Female"
"449","17","es","silla","furniture","9","marr&oacute;n","color",0,"español","most",37,NA,"2","both8","native","","mostlive","SpanSpan","yes","Female"
"450","17","es","televisi&oacute;n ","furniture","10","corto","size",0,"español","most",37,NA,"2","both8","native","","mostlive","SpanSpan","yes","Female"
"451","17","es","ventilador","furniture","11","redondo","shape",0,"español","most",37,NA,"2","both8","native","","mostlive","SpanSpan","yes","Female"
"452","17","no es","manzana","food","12","suave","texture",0,"español","most",37,NA,"2","both8","native","","mostlive","SpanSpan","yes","Female"
"453","17","es","zanahoria","food","13","cuadrado","shape",0,"español","most",37,NA,"2","both8","native","","mostlive","SpanSpan","yes","Female"
"454","17","es","queso","food","14","amarillo","color",1,"español","most",37,NA,"2","both8","native","","mostlive","SpanSpan","yes","Female"
"455","17","es","manzana","food","15","bueno","quality",0,"español","most",37,NA,"2","both8","native","","mostlive","SpanSpan","yes","Female"
"456","17","es","tomate","food","16","enorme","size",0,"español","most",37,NA,"2","both8","native","","mostlive","SpanSpan","yes","Female"
"457","17","no es","tomate","food","17","duro","texture",0,"español","most",37,NA,"2","both8","native","","mostlive","SpanSpan","yes","Female"
"458","17","est&aacute;","ventilador","furniture","18","podrido","age",0,"español","most",37,NA,"2","both8","native","","mostlive","SpanSpan","yes","Female"
"459","17","es","tomate","food","19","liso","texture",0,"español","most",37,NA,"2","both8","native","","mostlive","SpanSpan","yes","Female"
"460","17","es","pl&aacute;tano","food","20","nuevo","age",0,"español","most",37,NA,"2","both8","native","","mostlive","SpanSpan","yes","Female"
"461","17","es","queso","food","21","americano","nationality",0,"español","most",37,NA,"2","both8","native","","mostlive","SpanSpan","yes","Female"
"462","17","es","silla","furniture","22","peque&ntilde;o","size",0,"español","most",37,NA,"2","both8","native","","mostlive","SpanSpan","yes","Female"
"463","17","es","televisi&oacute;n ","furniture","23","azul","color",0,"español","most",37,NA,"2","both8","native","","mostlive","SpanSpan","yes","Female"
"464","17","no es","sof&aacute; ","furniture","24","grande","size",0,"español","most",37,NA,"2","both8","native","","mostlive","SpanSpan","yes","Female"
"465","17","es","escritorio","furniture","25","viejo","age",0,"español","most",37,NA,"2","both8","native","","mostlive","SpanSpan","yes","Female"
"466","17","es","ventilador","furniture","26","min&uacute;sculo","size",0,"español","most",37,NA,"2","both8","native","","mostlive","SpanSpan","yes","Female"
"467","17","es","pl&aacute;tano","food","27","mexicano","nationality",0.02,"español","most",37,NA,"2","both8","native","","mostlive","SpanSpan","yes","Female"
"468","17","es","queso","food","28","rojo","color",0.04,"español","most",37,NA,"2","both8","native","","mostlive","SpanSpan","yes","Female"
"495","19","no es","queso","food","3","largo","size",0,"Espanol","most",37,"Yes","4","both8","native","span","mostlive","SpanSpan","no","Male"
"496","19","es","tomate","food","4","duro","texture",0,"Espanol","most",37,"Yes","4","both8","native","span","mostlive","SpanSpan","no","Male"
"497","19","es","silla","furniture","5","mexicano","nationality",0,"Espanol","most",37,"Yes","4","both8","native","span","mostlive","SpanSpan","no","Male"
"498","19","es","queso","food","6","azul","color",0,"Espanol","most",37,"Yes","4","both8","native","span","mostlive","SpanSpan","no","Male"
"499","19","es","sof&aacute; ","furniture","7","espa&ntilde;ol","nationality",0,"Espanol","most",37,"Yes","4","both8","native","span","mostlive","SpanSpan","no","Male"
"500","19","es","ventilador","furniture","8","liso","texture",0.04,"Espanol","most",37,"Yes","4","both8","native","span","mostlive","SpanSpan","no","Male"
"501","19","no es","tomate","food","9","malo","quality",0,"Espanol","most",37,"Yes","4","both8","native","span","mostlive","SpanSpan","no","Male"
"502","19","no es","ventilador","furniture","10","peque&ntilde;o","size",0.02,"Espanol","most",37,"Yes","4","both8","native","span","mostlive","SpanSpan","no","Male"
"503","19","no es","televisi&oacute;n ","furniture","11","min&uacute;sculo","size",0.02,"Espanol","most",37,"Yes","4","both8","native","span","mostlive","SpanSpan","no","Male"
