workerid,noun,gender,nounclass,slide_number,predicate2,predicate1,class2,response,class1
0,silla,feminine,furniture,3,enorme,viejo,size,0.26,age
0,escritorio,masculine,furniture,4,bueno,cuadrado,quality,0.18,shape
0,escritorio,masculine,furniture,5,duro,largo,texture,0,size
0,pl&aacute;tano,masculine,food,6,americano,grande,nationality,0.92,size
0,escritorio,masculine,furniture,7,azul,largo,color,0.88,size
0,sof&aacute; ,masculine,furniture,8,liso,grande,texture,0.93,size
0,tomate,masculine,food,9,americano,suave,nationality,0.1,texture
0,manzana,feminine,food,10,bueno,cuadrado,quality,0.06,shape
0,zanahoria,feminine,food,11,azul,malo,color,0.06,quality
0,televisi&oacute;n ,feminine,furniture,12,malo,grande,quality,0.1,size
0,televisi&oacute;n ,feminine,furniture,13,min&uacute;sculo,liso,size,0.48,texture
0,manzana,feminine,food,14,americano,redondo,nationality,0.16,shape
0,zanahoria,feminine,food,15,fresco,peque&ntilde;o,age,0.89,size
0,pl&aacute;tano,masculine,food,16,suave,viejo,texture,0,age
0,sof&aacute; ,masculine,furniture,17,verde,podrido,color,0.33,age
0,televisi&oacute;n ,feminine,furniture,18,largo,malo,size,0.04,quality
0,zanahoria,feminine,food,19,fresco,min&uacute;sculo,age,0.1,size
0,silla,feminine,furniture,20,viejo,americano,age,1,nationality
0,pl&aacute;tano,masculine,food,21,mexicano,corto,nationality,0.31,size
0,pl&aacute;tano,masculine,food,22,americano,cuadrado,nationality,0,shape
0,televisi&oacute;n ,feminine,furniture,23,espa&ntilde;ol,fresco,nationality,0.01,age
0,sof&aacute; ,masculine,furniture,24,enorme,cuadrado,size,0,shape
0,silla,feminine,furniture,25,marr&oacute;n,podrido,color,0,age
0,sof&aacute; ,masculine,furniture,26,largo,bueno,size,0.09,quality
0,televisi&oacute;n ,feminine,furniture,27,min&uacute;sculo,bueno,size,0.11,quality
0,sof&aacute; ,masculine,furniture,28,americano,amarillo,nationality,0.81,color
1,escritorio,masculine,furniture,3,bueno,morado,quality,0.98,color
1,ventilador,masculine,furniture,4,amarillo,cuadrado,color,0,shape
1,manzana,feminine,food,5,suave,bueno,texture,0.01,quality
1,silla,feminine,furniture,6,suave,fresco,texture,0.01,age
1,manzana,feminine,food,7,amarillo,americano,color,0.04,nationality
1,ventilador,masculine,furniture,8,redondo,amarillo,shape,0.03,color
1,pl&aacute;tano,masculine,food,9,azul,podrido,color,0.02,age
1,escritorio,masculine,furniture,10,enorme,liso,size,0,texture
1,pl&aacute;tano,masculine,food,11,viejo,corto,age,0.03,size
1,ventilador,masculine,furniture,12,espa&ntilde;ol,grande,nationality,0.99,size
1,pl&aacute;tano,masculine,food,13,morado,americano,color,0.03,nationality
1,ventilador,masculine,furniture,14,marr&oacute;n,largo,color,0.01,size
1,manzana,feminine,food,15,nuevo,marr&oacute;n,age,0.02,color
1,sof&aacute; ,masculine,furniture,16,liso,corto,texture,0.03,size
