date,workerid,amount
Thu May 03 11:36:25 PDT 2018,A1K0OVQIQX807L,0.4
Thu May 03 23:49:32 PDT 2018,A243U9BA8M2EY9,0.4
Fri May 04 07:26:43 PDT 2018,AKC4O88D0D18F,0.4
Fri May 04 07:26:47 PDT 2018,A2NHPETX25VH3Q,0.4
Fri May 04 14:28:25 PDT 2018,A35RT6VWT56F30,0.4
Fri May 04 18:38:48 PDT 2018,A1DGRE9JMCBGCI,0.4
Fri May 04 19:05:13 PDT 2018,A21TIBPEO824YA,0.4
Fri May 04 19:17:06 PDT 2018,A2EW08X2I87RXL,0.4
Fri May 04 23:03:35 PDT 2018,AXCYZ5QHVGF43,0.4
,total paid to workers:,=SUM(c2:c10)
,40% paid to Amazon:,=.4*c11
,total:,=SUM(c11:c12
