workerid,noun,gender,nounclass,slide_number,predicate2,predicate1,class2,response,class1,school,lived,family,language,level,enjoyment,gender,age,describe,comments,years,assess,classes,college,education,OS,screenH,screenW,Browser,hitid,hittypeid,title,description,keywords,reward,creationtime,assignments,numavailable,numpending,numcomplete,hitstatus,reviewstatus,annotation,assignmentduration,autoapprovaldelay,hitlifetime,viewhit,assignmentid,workerid,assignmentstatus,autoapprovaltime,assignmentaccepttime,assignmentsubmittime,assignmentapprovaltime,assignmentrejecttime,deadline,feedback,reject,Answer.catch_trials,Answer.time_in_minutes
0,silla,feminine,furniture,3,amarillo,malo,color,0.02,quality,small,over8,eng,english,int,1,Female,33,L2,Hay algunas faltas de ortografia.,shortlive,Yes,yes,onesem,4,Windows,768,1366,Chrome,3OLZC0DJ8JACMGIAT0AZCBJY7IGVIN,3RPT4N9PTXJGAJSRBIDIX3WYSZC4DO,Descripciones de objetos,Va a ver 26 pares de descripciones cortas de objetos. Tiene que elegir la que suena mejor.,español idioma investigaciones ciencia cognitiva universidad,$0.40,Thu May 03 10:16:06 PDT 2018,9,0,0,6,Reviewable,NotReviewed,1 cond,1800,60000,Sat Jun 02 10:16:06 PDT 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3OLZC0DJ8JACMGIAT0AZCBJY7IGVIN,3RJSC4XJ11QN4BK8AL8IRSLR0IR500,0,Approved,Fri May 04 04:41:17 PDT 2018,Thu May 03 11:56:09 PDT 2018,Thu May 03 12:01:17 PDT 2018,Fri May 04 04:42:03 PDT 2018,,,,,[],5.0625
0,tomate,masculine,food,4,fresco,cuadrado,age,1,shape,small,over8,eng,english,int,1,Female,33,L2,Hay algunas faltas de ortografia.,shortlive,Yes,yes,onesem,4,Windows,768,1366,Chrome,3OLZC0DJ8JACMGIAT0AZCBJY7IGVIN,3RPT4N9PTXJGAJSRBIDIX3WYSZC4DO,Descripciones de objetos,Va a ver 26 pares de descripciones cortas de objetos. Tiene que elegir la que suena mejor.,español idioma investigaciones ciencia cognitiva universidad,$0.40,Thu May 03 10:16:06 PDT 2018,9,0,0,6,Reviewable,NotReviewed,1 cond,1800,60000,Sat Jun 02 10:16:06 PDT 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3OLZC0DJ8JACMGIAT0AZCBJY7IGVIN,3RJSC4XJ11QN4BK8AL8IRSLR0IR500,0,Approved,Fri May 04 04:41:17 PDT 2018,Thu May 03 11:56:09 PDT 2018,Thu May 03 12:01:17 PDT 2018,Fri May 04 04:42:03 PDT 2018,,,,,[],5.0625
0,televisi&oacute;n ,feminine,furniture,5,podrido,duro,age,1,texture,small,over8,eng,english,int,1,Female,33,L2,Hay algunas faltas de ortografia.,shortlive,Yes,yes,onesem,4,Windows,768,1366,Chrome,3OLZC0DJ8JACMGIAT0AZCBJY7IGVIN,3RPT4N9PTXJGAJSRBIDIX3WYSZC4DO,Descripciones de objetos,Va a ver 26 pares de descripciones cortas de objetos. Tiene que elegir la que suena mejor.,español idioma investigaciones ciencia cognitiva universidad,$0.40,Thu May 03 10:16:06 PDT 2018,9,0,0,6,Reviewable,NotReviewed,1 cond,1800,60000,Sat Jun 02 10:16:06 PDT 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3OLZC0DJ8JACMGIAT0AZCBJY7IGVIN,3RJSC4XJ11QN4BK8AL8IRSLR0IR500,0,Approved,Fri May 04 04:41:17 PDT 2018,Thu May 03 11:56:09 PDT 2018,Thu May 03 12:01:17 PDT 2018,Fri May 04 04:42:03 PDT 2018,,,,,[],5.0625
0,escritorio,masculine,furniture,6,podrido,marr&oacute;n,age,1,color,small,over8,eng,english,int,1,Female,33,L2,Hay algunas faltas de ortografia.,shortlive,Yes,yes,onesem,4,Windows,768,1366,Chrome,3OLZC0DJ8JACMGIAT0AZCBJY7IGVIN,3RPT4N9PTXJGAJSRBIDIX3WYSZC4DO,Descripciones de objetos,Va a ver 26 pares de descripciones cortas de objetos. Tiene que elegir la que suena mejor.,español idioma investigaciones ciencia cognitiva universidad,$0.40,Thu May 03 10:16:06 PDT 2018,9,0,0,6,Reviewable,NotReviewed,1 cond,1800,60000,Sat Jun 02 10:16:06 PDT 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3OLZC0DJ8JACMGIAT0AZCBJY7IGVIN,3RJSC4XJ11QN4BK8AL8IRSLR0IR500,0,Approved,Fri May 04 04:41:17 PDT 2018,Thu May 03 11:56:09 PDT 2018,Thu May 03 12:01:17 PDT 2018,Fri May 04 04:42:03 PDT 2018,,,,,[],5.0625
0,manzana,feminine,food,7,peque&ntilde;o,amarillo,size,1,color,small,over8,eng,english,int,1,Female,33,L2,Hay algunas faltas de ortografia.,shortlive,Yes,yes,onesem,4,Windows,768,1366,Chrome,3OLZC0DJ8JACMGIAT0AZCBJY7IGVIN,3RPT4N9PTXJGAJSRBIDIX3WYSZC4DO,Descripciones de objetos,Va a ver 26 pares de descripciones cortas de objetos. Tiene que elegir la que suena mejor.,español idioma investigaciones ciencia cognitiva universidad,$0.40,Thu May 03 10:16:06 PDT 2018,9,0,0,6,Reviewable,NotReviewed,1 cond,1800,60000,Sat Jun 02 10:16:06 PDT 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3OLZC0DJ8JACMGIAT0AZCBJY7IGVIN,3RJSC4XJ11QN4BK8AL8IRSLR0IR500,0,Approved,Fri May 04 04:41:17 PDT 2018,Thu May 03 11:56:09 PDT 2018,Thu May 03 12:01:17 PDT 2018,Fri May 04 04:42:03 PDT 2018,,,,,[],5.0625
0,silla,feminine,furniture,8,peque&ntilde;o,rojo,size,0,color,small,over8,eng,english,int,1,Female,33,L2,Hay algunas faltas de ortografia.,shortlive,Yes,yes,onesem,4,Windows,768,1366,Chrome,3OLZC0DJ8JACMGIAT0AZCBJY7IGVIN,3RPT4N9PTXJGAJSRBIDIX3WYSZC4DO,Descripciones de objetos,Va a ver 26 pares de descripciones cortas de objetos. Tiene que elegir la que suena mejor.,español idioma investigaciones ciencia cognitiva universidad,$0.40,Thu May 03 10:16:06 PDT 2018,9,0,0,6,Reviewable,NotReviewed,1 cond,1800,60000,Sat Jun 02 10:16:06 PDT 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3OLZC0DJ8JACMGIAT0AZCBJY7IGVIN,3RJSC4XJ11QN4BK8AL8IRSLR0IR500,0,Approved,Fri May 04 04:41:17 PDT 2018,Thu May 03 11:56:09 PDT 2018,Thu May 03 12:01:17 PDT 2018,Fri May 04 04:42:03 PDT 2018,,,,,[],5.0625
0,sof&aacute; ,masculine,furniture,9,americano,enorme,nationality,0,size,small,over8,eng,english,int,1,Female,33,L2,Hay algunas faltas de ortografia.,shortlive,Yes,yes,onesem,4,Windows,768,1366,Chrome,3OLZC0DJ8JACMGIAT0AZCBJY7IGVIN,3RPT4N9PTXJGAJSRBIDIX3WYSZC4DO,Descripciones de objetos,Va a ver 26 pares de descripciones cortas de objetos. Tiene que elegir la que suena mejor.,español idioma investigaciones ciencia cognitiva universidad,$0.40,Thu May 03 10:16:06 PDT 2018,9,0,0,6,Reviewable,NotReviewed,1 cond,1800,60000,Sat Jun 02 10:16:06 PDT 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3OLZC0DJ8JACMGIAT0AZCBJY7IGVIN,3RJSC4XJ11QN4BK8AL8IRSLR0IR500,0,Approved,Fri May 04 04:41:17 PDT 2018,Thu May 03 11:56:09 PDT 2018,Thu May 03 12:01:17 PDT 2018,Fri May 04 04:42:03 PDT 2018,,,,,[],5.0625
0,tomate,masculine,food,10,americano,grande,nationality,0.02,size,small,over8,eng,english,int,1,Female,33,L2,Hay algunas faltas de ortografia.,shortlive,Yes,yes,onesem,4,Windows,768,1366,Chrome,3OLZC0DJ8JACMGIAT0AZCBJY7IGVIN,3RPT4N9PTXJGAJSRBIDIX3WYSZC4DO,Descripciones de objetos,Va a ver 26 pares de descripciones cortas de objetos. Tiene que elegir la que suena mejor.,español idioma investigaciones ciencia cognitiva universidad,$0.40,Thu May 03 10:16:06 PDT 2018,9,0,0,6,Reviewable,NotReviewed,1 cond,1800,60000,Sat Jun 02 10:16:06 PDT 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3OLZC0DJ8JACMGIAT0AZCBJY7IGVIN,3RJSC4XJ11QN4BK8AL8IRSLR0IR500,0,Approved,Fri May 04 04:41:17 PDT 2018,Thu May 03 11:56:09 PDT 2018,Thu May 03 12:01:17 PDT 2018,Fri May 04 04:42:03 PDT 2018,,,,,[],5.0625
0,televisi&oacute;n ,feminine,furniture,11,peque&ntilde;o,podrido,size,0.04,age,small,over8,eng,english,int,1,Female,33,L2,Hay algunas faltas de ortografia.,shortlive,Yes,yes,onesem,4,Windows,768,1366,Chrome,3OLZC0DJ8JACMGIAT0AZCBJY7IGVIN,3RPT4N9PTXJGAJSRBIDIX3WYSZC4DO,Descripciones de objetos,Va a ver 26 pares de descripciones cortas de objetos. Tiene que elegir la que suena mejor.,español idioma investigaciones ciencia cognitiva universidad,$0.40,Thu May 03 10:16:06 PDT 2018,9,0,0,6,Reviewable,NotReviewed,1 cond,1800,60000,Sat Jun 02 10:16:06 PDT 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3OLZC0DJ8JACMGIAT0AZCBJY7IGVIN,3RJSC4XJ11QN4BK8AL8IRSLR0IR500,0,Approved,Fri May 04 04:41:17 PDT 2018,Thu May 03 11:56:09 PDT 2018,Thu May 03 12:01:17 PDT 2018,Fri May 04 04:42:03 PDT 2018,,,,,[],5.0625
0,tomate,masculine,food,12,marr&oacute;n,peque&ntilde;o,color,0.97,size,small,over8,eng,english,int,1,Female,33,L2,Hay algunas faltas de ortografia.,shortlive,Yes,yes,onesem,4,Windows,768,1366,Chrome,3OLZC0DJ8JACMGIAT0AZCBJY7IGVIN,3RPT4N9PTXJGAJSRBIDIX3WYSZC4DO,Descripciones de objetos,Va a ver 26 pares de descripciones cortas de objetos. Tiene que elegir la que suena mejor.,español idioma investigaciones ciencia cognitiva universidad,$0.40,Thu May 03 10:16:06 PDT 2018,9,0,0,6,Reviewable,NotReviewed,1 cond,1800,60000,Sat Jun 02 10:16:06 PDT 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3OLZC0DJ8JACMGIAT0AZCBJY7IGVIN,3RJSC4XJ11QN4BK8AL8IRSLR0IR500,0,Approved,Fri May 04 04:41:17 PDT 2018,Thu May 03 11:56:09 PDT 2018,Thu May 03 12:01:17 PDT 2018,Fri May 04 04:42:03 PDT 2018,,,,,[],5.0625
