class1,class2,Answer.time_in_minutes,slide_number,response,predicate2,noun,predicate1,gender,nounclass,workerid
shape,texture,3.00045,3,0.69,suave,televisi&oacute;n ,cuadrado,feminine,furniture,0
texture,size,3.00045,4,0.31,corto,televisi&oacute;n ,duro,feminine,furniture,0
nationality,texture,3.00045,5,0.54,suave,tomate,americano,masculine,food,0
size,texture,3.00045,6,0.29,liso,queso,peque&ntilde;o,masculine,food,0
quality,shape,3.00045,7,0.45,cuadrado,tomate,malo,masculine,food,0
age,nationality,3.00045,8,0.83,americano,tomate,podrido,masculine,food,0
color,quality,3.00045,9,0.69,malo,manzana,amarillo,feminine,food,0
age,texture,3.00045,10,0.65,liso,manzana,podrido,feminine,food,0
age,nationality,3.00045,11,0.85,americano,silla,viejo,feminine,furniture,0
age,color,3.00045,12,0.82,azul,tomate,fresco,masculine,food,0
nationality,color,3.00045,13,0.67,marr&oacute;n,televisi&oacute;n ,americano,feminine,furniture,0
quality,color,3.00045,14,0.9,amarillo,manzana,malo,feminine,food,0
quality,texture,3.00045,15,0.75,suave,sof&aacute; ,malo,masculine,furniture,0
texture,shape,3.00045,16,0.83,cuadrado,zanahoria,duro,feminine,food,0
age,texture,3.00045,17,0.62,duro,zanahoria,podrido,feminine,food,0
quality,shape,3.00045,18,0.87,redondo,tomate,bueno,masculine,food,0
texture,age,3.00045,19,0.72,fresco,manzana,liso,feminine,food,0
color,size,3.00045,20,0.93,peque&ntilde;o,manzana,morado,feminine,food,0
color,nationality,3.00045,21,0.78,americano,queso,verde,masculine,food,0
texture,nationality,3.00045,22,0.88,espa&ntilde;ol,escritorio,duro,masculine,furniture,0
age,texture,3.00045,23,0.78,suave,televisi&oacute;n ,podrido,feminine,furniture,0
age,texture,3.00045,24,0.9,suave,ventilador,viejo,masculine,furniture,0
quality,size,3.00045,25,0.81,corto,ventilador,bueno,masculine,furniture,0
size,color,3.00045,26,0.95,rojo,tomate,grande,masculine,food,0
nationality,size,3.00045,27,0.86,largo,televisi&oacute;n ,espa&ntilde;ol,feminine,furniture,0
size,quality,3.00045,28,0.91,malo,televisi&oacute;n ,largo,feminine,furniture,0
texture,size,2.7643333333333335,3,0.52,peque&ntilde;o,sof&aacute; ,liso,masculine,furniture,1
size,shape,2.7643333333333335,4,0.72,redondo,televisi&oacute;n ,corto,feminine,furniture,1
texture,nationality,2.7643333333333335,5,0.54,mexicano,televisi&oacute;n ,liso,feminine,furniture,1
nationality,color,2.7643333333333335,6,0.58,morado,sof&aacute; ,espa&ntilde;ol,masculine,furniture,1
age,texture,2.7643333333333335,7,0.45,liso,sof&aacute; ,fresco,masculine,furniture,1
size,texture,2.7643333333333335,8,0.65,suave,ventilador,largo,masculine,furniture,1
nationality,color,2.7643333333333335,9,0.52,morado,queso,americano,masculine,food,1
size,age,2.7643333333333335,10,0.62,podrido,tomate,enorme,masculine,food,1
color,texture,2.7643333333333335,11,0.58,duro,escritorio,rojo,masculine,furniture,1
size,nationality,2.7643333333333335,12,0.72,americano,queso,enorme,masculine,food,1
color,size,2.7643333333333335,13,0.38,min&uacute;sculo,ventilador,verde,masculine,furniture,1
texture,color,2.7643333333333335,14,0.66,amarillo,escritorio,liso,masculine,furniture,1
size,color,2.7643333333333335,15,0.39,rojo,zanahoria,largo,feminine,food,1
nationality,shape,2.7643333333333335,16,0.6,cuadrado,manzana,mexicano,feminine,food,1
shape,size,2.7643333333333335,17,0.4,grande,silla,cuadrado,feminine,furniture,1
age,size,2.7643333333333335,18,0.61,min&uacute;sculo,queso,viejo,masculine,food,1
quality,age,2.7643333333333335,19,0.55,nuevo,sof&aacute; ,bueno,masculine,furniture,1
size,color,2.7643333333333335,20,0.71,marr&oacute;n,tomate,grande,masculine,food,1
color,shape,2.7643333333333335,21,0.33,redondo,ventilador,rojo,masculine,furniture,1
color,size,2.7643333333333335,22,0.62,corto,queso,marr&oacute;n,masculine,food,1
texture,age,2.7643333333333335,23,0.78,viejo,ventilador,liso,masculine,furniture,1
quality,texture,2.7643333333333335,24,0.5,suave,ventilador,malo,masculine,furniture,1
size,nationality,2.7643333333333335,25,0.61,americano,silla,corto,feminine,furniture,1
size,shape,2.7643333333333335,26,0.78,redondo,tomate,corto,masculine,food,1
age,quality,2.7643333333333335,27,0.67,bueno,queso,viejo,masculine,food,1
color,size,2.7643333333333335,28,0.53,corto,sof&aacute; ,verde,masculine,furniture,1
color,quality,1.4333666666666667,3,0.19,malo,zanahoria,azul,feminine,food,2
age,texture,1.4333666666666667,4,0.15,liso,zanahoria,fresco,feminine,food,2
size,age,1.4333666666666667,5,0.2,fresco,escritorio,corto,masculine,furniture,2
shape,age,1.4333666666666667,6,0.17,viejo,televisi&oacute;n ,cuadrado,feminine,furniture,2
color,texture,1.4333666666666667,7,0.26,liso,queso,azul,masculine,food,2
texture,age,1.4333666666666667,8,0.2,viejo,queso,liso,masculine,food,2
color,age,1.4333666666666667,9,0.21,podrido,tomate,marr&oacute;n,masculine,food,2
color,size,1.4333666666666667,10,0.25,largo,escritorio,rojo,masculine,furniture,2
quality,color,1.4333666666666667,11,0.24,rojo,sof&aacute; ,malo,masculine,furniture,2
texture,nationality,1.4333666666666667,12,0.16,americano,silla,liso,feminine,furniture,2
age,color,1.4333666666666667,13,0.21,verde,manzana,nuevo,feminine,food,2
size,age,1.4333666666666667,14,0.26,fresco,ventilador,enorme,masculine,furniture,2
age,size,1.4333666666666667,15,0.26,corto,tomate,nuevo,masculine,food,2
